Name,Phone,Address,Fax,Program
"Allstate Mortgage Loans & Investments, Inc.",866-351-0200,"P.O. 1201, 
Crystal River, FL 34423",352-351-4557,HAMP
Amarillo National Bank,1-806-378-8000,"410 S. Taylor, 
Amarillo, TX 79101",1-806-356-1449,Treasury FHA-HAMP
American Financial Resources Inc.,1-800-316-9508,"9 Sylvan Way, 
Parsippany, NJ 07054",1-973-782-2573,Treasury FHA-HAMP
"American Home Mortgage Servicing, Inc.",877-304-3100,"Attn: HAMP Processing
1525 S. Belt Line Road Coppell, 
TX 75019",866-452-1837,HAMP
"AMS Servicing, LLC",866-919-5608,"3374 Walden Avenue 
Buffalo, NY 14043",716-204-3875,HAMP
"Aurora Financial Group, Inc.",1-800-648-0345,"9 Eves Drive
Marlton, New Jersey 08053",1-856-355-4765,Treasury FHA-HAMP
Aurora Loan Services LLC,800-550-0508,"P.O. Box 1706
2617 College Park 
Scottsbluff, NE 69363-1706",866-517-7975,HAMPTreasury FHA-HAMP
Banco Popular de Puerto Rico,1-787-775-1100,"Calle Angel Buonomo 339, 
San Juan, PR 00918",1-787-706-6121,Treasury FHA-HAMPRD-HAMP
"Bank of America, N.A.",800-720-3758,"MHA Escalations Unit
PO Box 940070
Simi Valley, CA",866-382-0489,HAMP Treasury FHA-HAMPRD-HAMP2MPFHA-2LP
Bank United,866-615-0662,"Attn: Modification Department
Mail Code: DO4-RESALT-560 
7815 N.W. 148th Street
Miami, FL 33016",877-263-8930,HAMP
"Bayview Loan Servicing, LLC",800-457-5105,"Attn: Specialized Asset Management
4425 Ponce De Leon Blvd., 
5TH Floor 
Coral Gables, FL 33146",877-360-9593 or  305-646-9943,HAMP2MPFHA-2LP
"Capital International Financial, Inc.",1-305-442-1256,"395 Alhembra Circle, 
Suite 200, Coral Gables, FL 33134",1-305-442-2516,Treasury FHA-HAMP
"Carrington Mortgage Services, LLC",888-267-2417,"Attention: Home Retention
P.O. Box 54285 
Irvine, CA 92619-4285",877-267-1331,HAMP
CCO Mortgage,877-745-7366,"10561 Telegraph Road 
Glen Allen, VA 23059",888-777-1631,HAMP
Central Florida Educators Federal Credit Union,800-771-9411,"P.O. Box 958471 
Lake Mary, Florida 32795-9814 
Attn: Real Estate - HAMP Team",407-893-5727,HAMP
"CitiMortgage, Inc.",866-915-9417,"Citi Ham Trial Agreements 
NTSB 1680, 
680 Colwell Blvd Irving, TX 75039",,HAMPTreasury FHA-HAMP2MPFHA-2LP
Citizens 1st National Bank,800-311-7531,"606 S. Main Street Princeton, IL 61356",815-872-0247,HAMP
Community Bank & Trust Company,,"125 N. State Street,
Clarks Summit, PA 18411",570-586-0177,HAMP
Community Credit Union of Florida,1-321-690-2328,"1030 South US Highway 1, 
Rockledge, FL 32955",1-321-636-3121,HAMP 2MP
Countrywide Home Loans Servicing LP,800-720-3758,"PO Box 940070, Simi Valley, CA. 93094-0070",866-382-0489,HAMP Treasury FHA-HAMPRD-HAMP2MPFHA-2LP
"CU Mortgage Services, Inc.",1-651-631-3111,"500 Main Street, 
New Brighton, MN 55112",1-651-787-9536,Treasury FHA-HAMP
CUC Mortgage Corporation,800-342-4998,"P.O. Box 12670 
Albany, NY 12212",,HAMP
DuPage Credit Union,800-323-2611,"Attn: Alternative Loan Solutions
P O Box 3930
Naperville, IL 60567",630-305-6030,HAMP
"Fay Servicing, LLC",1-800-495-7166,"939 W. North Avenue
Chicago, IL 60642",1-312-278-2540,HAMP
Fidelity Homestead Savings Bank,504-569-3490,"201 St. Charles Ave, 20th Floor New Orleans, LA 70170",504-569-3537,HAMP
First Bank,800-760-2265,"1 First Missouri Center
St. Louis, MO 63141",314-264-0220,HAMP
First Federal Bank of Florida,1-386-754-0090,"4705 West US Hwy 90, 
Lake City, FL 32056",1-386-754-7161,Treasury FHA-HAMP
"First Financial Bank, N.A.",1-812-238-6311,"1 First Financial Plaza
Terre Haute, Indiana 47807",1-812-238-6137,HAMP
First Mortgage Coporation,1-800-395-4778,"3230 Fallow Field Drive, 
Diamond Bar, CA 91765",1-909-869-6685,Treasury FHA-HAMP
Flagstar,1-800-968-7700,"5151 Corporate Drive, 
Troy, MI 48098",1-888-848-1071,FHA-2LP
Franklin Credit Management Corporation,800-255-5897,"Attn:  Loss Mitigation
101 Hudson Street 25th Floor 
Jersey City, NJ 07302",201-839-4545,HAMP
Franklin Savings,1-513-469-8000,"4750 Ashwood Dr., 
Cincinnati, OH 45241",1-513-469-5360,HAMPTreasury FHA-HAMP
Fresno County Federal Credit Union,800-613-2328,"4979 E. University Ave Fresno, CA 93727",559-451-2496,HAMP
"Gateway Mortgage Group, LLC",1-918-712-9000,"6910 E. 14th Street, 
Tulsa, OK 74112",1-918-858-8354,Treasury FHA-HAMP
Glass City Federal Credit Union,800-837-3595,"1340 Arrowhead Drive 
Maumee, OH 43537",419-887-1099,HAMP
GMAC Mortgage LLC,800-766-4622,"2711 North Haskell Ave, Suite 900 
Dallas, TX 75204",866-709-4744,HAMPTreasury FHA-HAMP2MPFHA-2LP
Great Lakes Credit Union,800-442-3488,,,HAMP
Greater Nevada Mortgage Services,800-421-6674,"4070 Silver Sage Drive, Carson City, NV 89701",775-884-7041,HAMP
Green Tree Servicing LLC,800-643-0202,"7360 S Kyrene Road T214 
Tempe, AZ 85283",877-265-9717,HAMPTreasury FHA-HAMP2MPFHA-2LP
Guaranty Bank,1-800-235-4636,"345 Saint Peter Street, 
Saint Paul, MN 55102",1-414-410-1400,Treasury FHA-HAMP
Hartford Savings Bank,800-844-3812,"1400 Schauer Drive, 
Hartford,WI 53027",262-673-0459,HAMP
Hillsdale County National Bank,517-439-6121,"One South Howell Street
Hillsdale, MI 49242",517-437-3151,HAMP
"Home Loan Services, Inc.",800-622-5035,"Loan Services P.O. Box 1838 
Pittsburgh, PA 15230-1838",412-499-3400,HAMPFHA-2LP
HomEq Servicing,877-867-7378,"P.O. Box 160248 
Sacramento, CA 95816-0248",866- 554-5325,HAMP
HomeStar Bank and Financial Services,815-468-2265,"3 Diversatech Dr.,
Manteno, IL 60950",815-468-2378,HAMP
Horicon Bank,920-485-3080 ext.7310,"326 E Lake Street, PO 126 
Horicon, WI 53032",920-485-3059,HAMPRD-HAMP
"Horizon Bank, NA",888-873-2640,"515 Franklin Square, Michigan City, IN 46360",219-874-9374,HAMP
IBM Lender Business Processing Services (LBPS),866-570-5277,"PO Box 4121 
Beaverton, OR 
97076-4121",877-649-0743,HAMP
IBM Southeast Employees' Federal Credit Union,1-800-873-5100,"1000 NW 17th Ave., Delray Beach, FL 33445",1-561-982-7713,HAMP
IC Federal Credit Union,1-800-262-1001,"300 Bemis Road, Fitchburg, MA 01420",1-978-353-1375,HAMP
Idaho Housing and Finance Association,1-208-331-4726,"565 W. Myrtle Street Boise, ID 83702",1-208-331-4801,HAMP
"iServe Residential Lending, LLC",1-888-875-8326,"13520 Evening Creek Drive Suite 400, San Diego, CA 92128",1-480-614-6710,HAMP 2MP Treasury FHA-HAMP
"iServe Servicing, Inc.",1-888-858-7378,"222 W. Las Colinas Blvd. Ste. 1252E, Irving, TX 75039",1-214-496-9501,HAMP 2MP Treasury FHA-HAMP
"J.P. Morgan Chase Bank, NA (includes: Chase Home Finance, LLC and EMC Mortgage Corporation)",866-550-5705,"Regular Mail:
PO Box 469030
Glendale, CO 80246 
Overnight Mail
Attn: Chase Fulfillment Center
4500 Cherry Creek Drive South
Suite 410
Glendale, CO 80246",866-989-1356,HAMPTreasury FHA-HAMPRD-HAMP2MPFHA-2LP
James B. Nutter & Company,1-800-798-3946,"4153 Broadway, Kansas City, MO 64111",1-816-751-6971,Treasury FHA-HAMP
Lake City Bank,888-522-2265,"ATTN: Candy Little
PO BOX 1387 
Warsaw, IN 46581-1387",574-267-9128,HAMP
Lake National Bank,440-205-8100,"PO Box 1048 
Mentor, Ohio 
44061-1048",,HAMP
Liberty Bank and Trust Co,1-800-883-3943,"6600 Plaza Drive, 
Suite 601, New Orleans, LA 70127",1-504-241-7433,HAMP
Litton Loan Servicing,800-247-9727,"4828 Loop Central Drive 
Houston, TX 77081",713-793-4923,HAMP
Los Alamos National Bank,800-684-5262,"PO Box 60 
Los Alamos NM 87544",505-663-4053,HAMP
M&T Bank,1-800-724-1633,"1100 Wehrie Drive, 
Williamsville, NY 14221",1-716-630-4900,Treasury FHA-HAMP
Magna Bank,1-800-553-0558,"6655 Poplar Ave #201, 
Germantown, TN 38138",1-901-309-6705,HAMPRD-HAMP
"Marix Servicing, LLC",866-406-2749,"1925 W. Pinnacle Peak Road
Phoeniz, AZ 85027",623-249-2070,HAMPTreasury FHA-HAMPRD-HAMP
"Marsh Associates, Inc.",1-800-686-3600,"2448 Park Road, 
Charlotte, NC 28203",1-704-347-5754,Treasury FHA-HAMP
Midland Mortgage Compnay,1-800-552-3000,"999 NW Grand Blvd, 
Oklahoma City, OK",1-405-767-5500,HAMPTreasury FHA-HAMPRD-HAMP
Midwest Community Bank,1-815-235-6137,"510 Polk Crest Drive, Freeport, IL 61032",1-815-235-1855,HAMP
Mission Federal Credit Union,800-500-6328 x2074,"Attn: Loss Mitigation
PO Box 919023 
San Diego, CA 92121",858-546-2058,HAMP
"Mortgage Center, LLC",866-856-3750,"20300 Civic Center Dr, # 403 
Southfield, MI 48076",248-799-8556,HAMP
National City Bank,800-523-8654,"3232 Newmark Drive
Miamisburg, OH 45342",937-910-4009,HAMPTreasury FHA-HAMP2MPFHA-2LP
Nationstar Mortgage LLC,888-850-9398,"Attn: HAMP
350 Highland Drive 
Lewisville, TX 75067",214-488-1993,HAMPTreasury FHA-HAMP2MPFHA-2LP RD-HAMP
Navy Federal Credit Union,1-888-842-6328,"3820 Follin Lane S.E 
Vienna, VA 22180",703-255-7947,HAMP
